id_restaurant,href_inspection
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=4ACDDC3BA3F8E0E885257F4F007A05C4
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=95BF31E5E6AAD45285257E7D00666AC4
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=6F954E0C3D1F307F85257E7D00665E54
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=E9646BD5995DD06785257DB1005C563A
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=7A6BAF4BD564935985257DB1005AFEE7
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=4F95119F8ECCA6F585257D02004DC0E0
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=6266A04F7F543C1785257D02004DBBD8
3EB8F956333D302085257CBD004AB683,Food-InspectionDetails?OpenView&RestrictToCategory=A95C12EF3D07D75885257CBD004B819E
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=293239B7D2F0BFD7852581C6004A0BC8
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=33BCBA11650E0077852581BD004B5C08
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=39C4849A6F72D696852581BB006FA881
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=C5B7359EF1B41E18852580C4005EC7CF
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=D098F002D3983191852580C4005E175E
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=0F0D32D48F5B707685258011006D7472
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=56F360D59C05006285258011006E54D0
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=ED9E44A0836C080185257F450061FA1F
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=746F76A45D5084BB85257F4500628597
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=01D99C56E91285E485257E980066B1F0
B38574394A4E98F785257E130053411F,Food-InspectionDetails?OpenView&RestrictToCategory=1218442FF80B3CCC85257E980068A1A2
3F8A28447235032185257F7000611584,Food-InspectionDetails?OpenView&RestrictToCategory=187D9630B3749682852581010063F8D7
3F8A28447235032185257F7000611584,Food-InspectionDetails?OpenView&RestrictToCategory=0BCD0582C17433E28525803B006AFF0C
FD09F6FD05A05B8F88257C780076AE62,Food-InspectionDetails?OpenView&RestrictToCategory=4A3C5286CE64988C85258109005A29F7
FD09F6FD05A05B8F88257C780076AE62,Food-InspectionDetails?OpenView&RestrictToCategory=222C176C1E245F308525803B006BB0D5
FD09F6FD05A05B8F88257C780076AE62,Food-InspectionDetails?OpenView&RestrictToCategory=0FB7EABDDBF2817885257E03005D0D87
FD09F6FD05A05B8F88257C780076AE62,Food-InspectionDetails?OpenView&RestrictToCategory=F8A6B08E7533226185257D11006AF971
4BC997A2F8E5AA6385257F6A005CB967,Food-InspectionDetails?OpenView&RestrictToCategory=33E9CBAC1E7ABB64852581630065737A
4BC997A2F8E5AA6385257F6A005CB967,Food-InspectionDetails?OpenView&RestrictToCategory=DD5DCFBCC75112498525816300669FB8
4BC997A2F8E5AA6385257F6A005CB967,Food-InspectionDetails?OpenView&RestrictToCategory=5B07113377E8890D85258089006B7976
4BC997A2F8E5AA6385257F6A005CB967,Food-InspectionDetails?OpenView&RestrictToCategory=2529B4BAD832C45F85258089006B0662
4BC997A2F8E5AA6385257F6A005CB967,Food-InspectionDetails?OpenView&RestrictToCategory=4C3AD467DCB1147F85257FFE006A1A3D
4BC997A2F8E5AA6385257F6A005CB967,Food-InspectionDetails?OpenView&RestrictToCategory=81EC18886267D9E085257FFE006B5E1D
4BC997A2F8E5AA6385257F6A005CB967,Food-InspectionDetails?OpenView&RestrictToCategory=0807FFEE8A62BF7B85257FD20066329D
4BC997A2F8E5AA6385257F6A005CB967,Food-InspectionDetails?OpenView&RestrictToCategory=D8069B6FBFC0CC4B85257FC400673DD4
53B07CBDFA4D8A5E88257C780076A8BD,Food-InspectionDetails?OpenView&RestrictToCategory=E0305036C07A7CD085258145006609BE
53B07CBDFA4D8A5E88257C780076A8BD,Food-InspectionDetails?OpenView&RestrictToCategory=29F04B8E6711722E85257FDB006B8BEC
53B07CBDFA4D8A5E88257C780076A8BD,Food-InspectionDetails?OpenView&RestrictToCategory=5FF3EE344569509985257E6D005CB5D1
53B07CBDFA4D8A5E88257C780076A8BD,Food-InspectionDetails?OpenView&RestrictToCategory=5D784F1B3C264BEA85257D34005FA059
53B07CBDFA4D8A5E88257C780076A8BD,Food-InspectionDetails?OpenView&RestrictToCategory=28BFD476FF0B28D485257D0A0070E415
53B07CBDFA4D8A5E88257C780076A8BD,Food-InspectionDetails?OpenView&RestrictToCategory=B859DB9031ACF4A385257D01005D715C
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=51F248A791B73A6D852581740069B225
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=2A7841C8A43E8116852581740081D28D
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=322CB6365A8FB153852580490064BAAB
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=E8A08DA2C425ED8F852580490064748D
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=00CA8DDF2C8E808985257F8E005D5F66
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=9E24F752D245D7C185257F8E005CBA47
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=F52CFEBFE8CE3D0F85257ED600551327
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=3851C0D5904FF70585257ED60054F2E2
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=7E0D9FEC07C26D4885257E3D0062A726
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=E0D62B80DCB5E55985257E3D0064229F
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=27B9422542771BF385257E3000652578
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=2736423EE3D37E9C85257DB20065CFAA
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=C6D2052D1105F76785257DB200638223
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=5DAF149FF1501AAF85257CED00541CF4
A83ACCA9CF5B0D6C88257C780076AEE5,Food-InspectionDetails?OpenView&RestrictToCategory=DC6BD916596F0F2085257CED0052D3D3
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=A264252075B7ED528525813A006A9865
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=8DECB858126919448525813A006AECF7
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=C6803D7AED32E67E852580890053BA4F
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=33F64C072336C6F8852580890054D456
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=3B73301867DB2E1885257FBD004F1415
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=0121F3FD077BB94085257FBD005185A6
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=2739975AF73BB92D85257F0F00524FA6
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=DD0F4E0CCB7F7E1C85257F0F005342DD
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=202295EE023B212385257E9F004DF9FE
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=5CDC37EAAFD1D60285257E660063854B
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=E775D7CA2B57A5A785257E6600680EDC
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=9A8970CE969AC02885257DD300748430
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=30F4401F5AEECCA285257DD3007243A2
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=F6288DEAB744067585257D1E006D9452
E930C51717551B0A85257D0E0049FFA7,Food-InspectionDetails?OpenView&RestrictToCategory=94745F182B17A5D385257D1E006AE43C
9C6A8416001C31718525813900523B40,Food-InspectionDetails?OpenView&RestrictToCategory=6E0D0E066EE7550885258124004B91D7
B23D6B8A9C55457685257F2A0052093F,Food-InspectionDetails?OpenView&RestrictToCategory=75523A2A37B9E7CB85258107004F5028
B23D6B8A9C55457685257F2A0052093F,Food-InspectionDetails?OpenView&RestrictToCategory=33E3E7BF05C3E20F852580AE0047D520
B23D6B8A9C55457685257F2A0052093F,Food-InspectionDetails?OpenView&RestrictToCategory=6AA61BBC0AA36F97852580E200640C09
B23D6B8A9C55457685257F2A0052093F,Food-InspectionDetails?OpenView&RestrictToCategory=C1C99F8D012260EC85257F8D004F7EB4
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=CE54C1559F8EE417852581B7004D3EB1
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=E48F13DE758EF7C785258102004C4B41
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=B76F081A7E100ADB85258028004DC22D
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=C721B9BBCA67A01785257F8100515D5D
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=1F5273CFFA94EE9E85257EEC00606B77
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=CE2C393F454CD5D185257E05004D5DEF
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=895089A390184B3085257D48004D5FF9
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=E3786C69C33D69CD85257CCA005F24F1
28D46E6CBEB432BF88257C780076B51D,Food-InspectionDetails?OpenView&RestrictToCategory=25C7016B2367B9EF85257CC500605AA9
392EDA790FF02D7088257C780076B321,Food-InspectionDetails?OpenView&RestrictToCategory=F0D9C7B094994460852582030050B2FD
392EDA790FF02D7088257C780076B321,Food-InspectionDetails?OpenView&RestrictToCategory=DC16FE9C4C2113998525815C0069ABB8
392EDA790FF02D7088257C780076B321,Food-InspectionDetails?OpenView&RestrictToCategory=7BF51FC1C2DCA4DF852580BB00538604
392EDA790FF02D7088257C780076B321,Food-InspectionDetails?OpenView&RestrictToCategory=AC199C93FC9CB49C85257FFE0046C173
392EDA790FF02D7088257C780076B321,Food-InspectionDetails?OpenView&RestrictToCategory=D9484A0BDE0039AB85257F5C0067ED92
392EDA790FF02D7088257C780076B321,Food-InspectionDetails?OpenView&RestrictToCategory=B04DB647D9AE869885257EA7005E8F77
392EDA790FF02D7088257C780076B321,Food-InspectionDetails?OpenView&RestrictToCategory=3D4B3C96B81617B285257DDC006D1587
392EDA790FF02D7088257C780076B321,Food-InspectionDetails?OpenView&RestrictToCategory=278484541A384F0285257D49004D94D8
