name,href
Adorable Enrichment Academy,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=633AB4D5B8841070852580F80063E250
Adrian Elementary School,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=5FDB786F458EB79588257C780076B56A
Adult Wellness Center,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=15AEF096F4180F0485257D01005F4B6B
AEFHealthcare Consultants Dba The Wine Spot,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=E557C074396077C988257C780076A979
Aero Controlex Grp-Main,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=C6D88E86F9927E7288257C780076B572
Affordable Catering,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=79FF962472790AB485257FB800678E4E
African Mini Mart,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=8BD638732361D55C88257C780076A9EA
Aga'pe Day Care Center Inc,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=43F231EDCB41272B852580F40047EE58
Agez and Stagez Inc. dba Blueprints to Footprints,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=9764ECB7591D92F985257FCB00479D2D
Agostino Da Napoli Inc,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=A880FB31DE4692C388257C780076B408
Ahuja Medical Center,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=71C555FD169171DB88257C780076A5F2
Aj's Spa Millennium,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=1DF32BC80804737B88257C780076A5A7
Aj's Urban Grill,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=284999FEF0BB8A7288257C780076B7A0
Akira Hibachi Steak & Sushi House,/clients/ohio/cuyahoga/cuyahoga_web_live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=701F0137080771BB88257C780076B49F
Akzonobel Coatings Inc.,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=7A60153B610C754785257DF9005A0B34
Al's Crankshaft Cafe Llc,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=949D7332B92D498088257C780076AFCB
Al's Tavern,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=543F4F9ECD7A34A888257C780076AB5F
Al Pita,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=384579DC46EF1D06852581540061D999
Alacriant Industries,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=5F9DEC4311253A3D85257E530055A6B8
Aladdin's,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=5EDE7C3D9A67555888257C780076AC81
Aladdins Eatery,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=C0753595DDD9A61388257C780076AF77
Aladdins Eatery,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=00FD50027860518B88257C780076AD1E
Aladdins Eatery,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=0ED9A18B0F12184B88257C780076B7CA
Aladdins Natural Eatery Ltd.,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=8A020ECD87247E7888257C780076A92C
Albion Road Elementary,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=77BDBE2BB5540DD388257C780076B108
Alcoa Bistro #53,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=288E152DE7F74E3E85257DF1000C8B85
Alcoa Forged Products Cafe,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=E087407A8D290D1785257DF1000CEA5B
Aldersgate United Methodist Church,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=277CC7B8DFE3049488257C780076B730
Aldi Inc #01,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=E70761D670888CB588257C780076AFA3
Aldi Inc #13,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=6D20996FE804ED6F88257C780076AB49
Aldi Inc #29,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=DC41C3B45B4E966388257C780076A879
Aldi Inc #47,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=92F73C087BB04D7988257C780076B0C3
Aldi Inc #70,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=B16B5071A9ED9F3988257C780076B804
Aldi Inc. #40,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=1E267E6E622192DF88257C780076AAD7
Aldi Store # 33,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=9EE0856583021EE988257C780076AD80
"Aldi, Inc. #17",/clients/ohio/cuyahoga/cuyahoga_web_live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D1D38F929F8B6F2988257C780076B46C
"Aldi, Inc. #38",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=83AA4ACD98D5B40088257C780076B659
"Aldi, Inc. #60",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=DE11B579E665397588257C780076ADF3
"Aldi, Inc. #68",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=7C91689778B29E2D88257C780076B070
Aldo's Restaurant,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=5FAF6228A440918888257C780076A842
Alecci's Ice Delights,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=B595B091F757A3EA85257E290066E274
Alfredo's At The Inn,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=12566ABB4BFC8BC788257C780076AE8E
All American Drive Thru,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=0B5960112B10791788257C780076B2C9
All Around Children,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=6DB794651B21980385258020006BB72C
All City Candy,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=15FC729C6BAD0D0988257C780076B3DF
All Nation Food Mart,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=1B96FF71090CE78B88257C780076B3DD
All Sports Bar & Grill,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=B92A86014EF9D362852580C0004F7DF4
